state,nces_id,district,students
MS,2804170,STONE CO SCHOOL DIST,9
MS,2804230,TATE CO SCHOOL DIST,9
MS,2804470,VICKSBURG WARREN SCHOOL DIST,9
MO,2909120,CLARKTON C-4,9
MO,2915180,GLENWOOD R-VIII,9
MO,2921750,NEELYVILLE R-IV,9
OK,4007800,CLAYTON,9
TN,4703060,Moore County,9
TN,4703540,Richard City,9
TX,4800001,CROSBYTON CISD,9
TX,4820960,GODLEY ISD,9
TX,4822140,HALLSBURG ISD,9
TX,4832220,NAZARETH ISD,9
TX,4836240,QUINLAN ISD,9
TX,4838040,ROTAN ISD,9
TX,4839150,SANFORD-FRITCH ISD,9
TX,4841010,SPEARMAN ISD,9
AR,0500021,IZARD CO. CONS. SCHOOL DIST.,8
AR,0502960,BENTON SCHOOL DISTRICT,8
AR,0503480,BRADFORD SCHOOL DISTRICT,8
AR,0506690,CENTERPOINT SCHOOL DISTRICT,8
FL,1200570,FRANKLIN,8
GA,1300990,Charlton County,8
GA,1305430,Ware County,8
LA,2201020,Livingston Parish,8
MS,2800196,WINONA-MONTGOMERY CONSOLIDATED,8
MS,2802280,JONES CO SCHOOL DIST,8
MS,2803060,NESHOBA COUNTY SCHOOL DISTRICT,8
MO,2911450,EMINENCE R-I,8
MO,2928590,SOUTHERN REYNOLDS CO. R-II,8
OK,4000797,OLUSTEE-ELDORADO,8
OK,4014370,HENRYETTA,8
OK,4021360,NEW LIMA,8
OK,4030300,TURNER,8
TN,4700600,Chester County,8
TN,4700900,Cumberland County,8
TN,4701890,Hollow Rock - Bruceton,8
TN,4703870,Smith County,8
TX,4813110,CARTHAGE ISD,8
TX,4813530,LUMBERTON ISD,8
TX,4823040,HERMLEIGH ISD,8
TX,4824300,IRA ISD,8
TX,4829910,MCLEOD ISD,8
TX,4831650,MOUNT ENTERPRISE ISD,8
TX,4840380,SIVELLS BEND ISD,8
TX,4844150,VICTORIA ISD,8
AR,0503240,BISMARCK SCHOOL DISTRICT,7
AR,0507530,HAZEN SCHOOL DISTRICT,7
AR,0510380,NASHVILLE SCHOOL DISTRICT,7
